                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     219568 |     218379 |     217383 |     219256 |     218884 |     220017 |     219849 |     219342
  Cycles                             |    6716112 |    6716112 |    6716112 |    6716112 |    6716112 |    6716112 |    6716112 |    6716112
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    2524854 |    2524854 |    2524854 |    2524854 |    2524854 |    2524854 |    2524854 |    2524854
  Idle time (ns)                     |    2382249 |    2387827 |    2391284 |    2385229 |    2382490 |    2381349 |    2380011 |    2379344
  Idle time (%)                      |      94.4% |      94.6% |      94.7% |      94.5% |      94.4% |      94.3% |      94.3% |      94.2%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19854 |      19791 |      19754 |      19808 |      19795 |      19869 |      19827 |      19778
  num incorrect                      |        637 |        598 |        560 |        655 |        636 |        668 |        680 |        688
  misprediction rate                 |      3.11% |      2.93% |      2.76% |      3.20% |      3.11% |      3.25% |      3.32% |      3.36%
  mpki                               |       2.90 |       2.74 |       2.58 |       2.99 |       2.91 |       3.04 |       3.09 |       3.14
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15925 |      15924 |      15864 |      16002 |      15990 |      16033 |      16044 |      16022
    num cache misses                 |         23 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     134362 |     134141 |     133947 |     134345 |     134277 |     134554 |     134461 |     134359
    num cache misses                 |       1151 |       1062 |        893 |       1135 |        976 |       1039 |       1118 |       1060
    miss rate                        |      0.86% |      0.79% |      0.67% |      0.84% |      0.73% |      0.77% |      0.83% |      0.79%
    mpki                             |       5.24 |       4.86 |       4.11 |       5.18 |       4.46 |       4.72 |       5.09 |       4.83
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1380 |       1292 |       1023 |       1335 |       1310 |       1390 |       1449 |       1433
    num cache misses                 |        759 |        617 |        541 |        660 |        505 |        488 |        518 |        539
    miss rate                        |     55.00% |     47.76% |     52.88% |     49.44% |     38.55% |     35.11% |     35.75% |     37.61%
    mpki                             |       3.46 |       2.83 |       2.49 |       3.01 |       2.31 |       2.22 |       2.36 |       2.46
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        874 |        737 |        598 |        767 |        746 |        715 |        733 |        780
    num cache misses                 |         32 |         15 |         12 |         12 |         12 |         11 |         11 |          9
    miss rate                        |      3.66% |      2.04% |      2.01% |      1.56% |      1.61% |      1.54% |      1.50% |      1.15%
    mpki                             |       0.15 |       0.07 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         65 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     116.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      63.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          8 |          7 |          4 |          5 |          5 |          6 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
