                                     | Core 0     | Core 1    
  Instructions                       |      97134 |      96925
  Cycles                             |     546110 |     546110
  IPC                                |       0.18 |       0.18
  Time (ns)                          |     205305 |     205305
  Idle time (ns)                     |     184016 |     184449
  Idle time (%)                      |      89.6% |      89.8%
Branch predictor stats               |            |           
  num correct                        |      10879 |      10876
  num incorrect                      |        276 |        259
  misprediction rate                 |      2.47% |      2.33%
  mpki                               |       2.84 |       2.67
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15362 |      15357
    num cache misses                 |         22 |         24
    miss rate                        |      0.14% |      0.16%
    mpki                             |       0.23 |       0.25
  Cache L1-D                         |            |           
    num cache accesses               |      52487 |      52423
    num cache misses                 |        851 |        835
    miss rate                        |      1.62% |      1.59%
    mpki                             |       8.76 |       8.61
  Cache L2                           |            |           
    num cache accesses               |       1218 |       1218
    num cache misses                 |         28 |         18
    miss rate                        |      2.30% |      1.48%
    mpki                             |       0.29 |       0.19
  Cache L3                           |            |           
    num cache accesses               |         30 |         20
    num cache misses                 |         28 |         18
    miss rate                        |     93.33% |     90.00%
    mpki                             |       0.29 |       0.19
DRAM summary                         |            |           
  num dram accesses                  |         40 |          0
  average dram access latency (ns)   |      96.70 |        inf
  average dram queueing delay        |      43.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
