                                     | Core 0    
  Instructions                       |     188037
  Cycles                             |     475721
  IPC                                |       0.40
  Time (ns)                          |     178843
  Idle time (ns)                     |      94742
  Idle time (%)                      |      53.0%
Branch predictor stats               |           
  num correct                        |      14005
  num incorrect                      |          9
  misprediction rate                 |      0.06%
  mpki                               |       0.05
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31021
    num cache misses                 |         16
    miss rate                        |      0.05%
    mpki                             |       0.09
  Cache L1-D                         |           
    num cache accesses               |     126049
    num cache misses                 |          9
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     131.59
  average dram queueing delay        |      78.16
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
