                                     | Core 0     | Core 1    
  Instructions                       |      86684 |      84312
  Cycles                             |     316033 |     316033
  IPC                                |       0.27 |       0.27
  Time (ns)                          |     118810 |     118810
  Idle time (ns)                     |      96536 |      97846
  Idle time (%)                      |      81.3% |      82.4%
Branch predictor stats               |            |           
  num correct                        |       7224 |       6835
  num incorrect                      |         64 |         63
  misprediction rate                 |      0.88% |      0.91%
  mpki                               |       0.74 |       0.75
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      20568 |      19795
    num cache misses                 |         16 |         18
    miss rate                        |      0.08% |      0.09%
    mpki                             |       0.18 |       0.21
  Cache L1-D                         |            |           
    num cache accesses               |      52871 |      51696
    num cache misses                 |       1469 |       1423
    miss rate                        |      2.78% |      2.75%
    mpki                             |      16.95 |      16.88
  Cache L2                           |            |           
    num cache accesses               |       1549 |       1549
    num cache misses                 |         22 |          9
    miss rate                        |      1.42% |      0.58%
    mpki                             |       0.25 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         24 |         11
    num cache misses                 |         22 |          9
    miss rate                        |     91.67% |     81.82%
    mpki                             |       0.25 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     100.07 |        inf
  average dram queueing delay        |      46.64 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
