                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     833975 |     660574 |     867123 |     895618 |     919436 |     765167 |     903461 |     911264 |     848337 |     877370 |     748330 |     819097 |     731896 |     893102 |     738442 |     890344
  Cycles                             |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741 |    1507741
  IPC                                |       0.55 |       0.44 |       0.58 |       0.59 |       0.61 |       0.51 |       0.60 |       0.60 |       0.56 |       0.58 |       0.50 |       0.54 |       0.49 |       0.59 |       0.49 |       0.59
  Time (ns)                          |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820 |     566820
  Idle time (ns)                     |     127414 |     234099 |     125859 |     103908 |     103242 |     175824 |     100986 |     101525 |     131394 |     125464 |     184909 |     149856 |     183799 |     113642 |     187369 |     121367
  Idle time (%)                      |      22.5% |      41.3% |      22.2% |      18.3% |      18.2% |      31.0% |      17.8% |      17.9% |      23.2% |      22.1% |      32.6% |      26.4% |      32.4% |      20.0% |      33.1% |      21.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     195760 |     152459 |     204030 |     211199 |     217148 |     178561 |     213157 |     215111 |     199397 |     206683 |     174378 |     192095 |     170289 |     210581 |     171945 |     209839
  num incorrect                      |        237 |        200 |        263 |        218 |        222 |        240 |        222 |        221 |        204 |        176 |        218 |        195 |        202 |        210 |        179 |        262
  misprediction rate                 |      0.12% |      0.13% |      0.13% |      0.10% |      0.10% |      0.13% |      0.10% |      0.10% |      0.10% |      0.09% |      0.12% |      0.10% |      0.12% |      0.10% |      0.10% |      0.12%
  mpki                               |       0.28 |       0.30 |       0.30 |       0.24 |       0.24 |       0.31 |       0.25 |       0.24 |       0.24 |       0.20 |       0.29 |       0.24 |       0.28 |       0.24 |       0.24 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     394979 |     308308 |     411563 |     425826 |     437719 |     360577 |     429744 |     433655 |     402195 |     416712 |     352173 |     387569 |     343977 |     424571 |     347238 |     423197
    num cache misses                 |         16 |         16 |         16 |         16 |         16 |         17 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     427019 |     340325 |     443601 |     457846 |     469761 |     392620 |     461770 |     465672 |     434208 |     448723 |     384205 |     419588 |     375988 |     456590 |     379262 |     455215
    num cache misses                 |       7147 |       5399 |       6976 |       7214 |       7346 |       6236 |       7289 |       7247 |       6992 |       7063 |       5938 |       6402 |       5823 |       7046 |       5873 |       6815
    miss rate                        |      1.67% |      1.59% |      1.57% |      1.58% |      1.56% |      1.59% |      1.58% |      1.56% |      1.61% |      1.57% |      1.55% |      1.53% |      1.55% |      1.54% |      1.55% |      1.50%
    mpki                             |       8.57 |       8.17 |       8.04 |       8.05 |       7.99 |       8.15 |       8.07 |       7.95 |       8.24 |       8.05 |       7.94 |       7.82 |       7.96 |       7.89 |       7.95 |       7.65
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7980 |       6217 |       7765 |       7964 |       8112 |       6992 |       8041 |       7961 |       7901 |       7906 |       6713 |       7208 |       6654 |       7862 |       6688 |       7548
    num cache misses                 |       7163 |       5416 |       6999 |       7233 |       7367 |       6261 |       7310 |       7270 |       7008 |       7082 |       5961 |       6423 |       5849 |       7071 |       5897 |       6839
    miss rate                        |     89.76% |     87.12% |     90.14% |     90.82% |     90.82% |     89.55% |     90.91% |     91.32% |     88.70% |     89.58% |     88.80% |     89.11% |     87.90% |     89.94% |     88.17% |     90.61%
    mpki                             |       8.59 |       8.20 |       8.07 |       8.08 |       8.01 |       8.18 |       8.09 |       7.98 |       8.26 |       8.07 |       7.97 |       7.84 |       7.99 |       7.92 |       7.99 |       7.68
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       7980 |       6217 |       7765 |       7964 |       8112 |       6992 |       8041 |       7961 |       7901 |       7906 |       6713 |       7208 |       6654 |       7862 |       6688 |       7548
    num cache misses                 |       4638 |       3437 |       4483 |       4526 |       4590 |       4097 |       4597 |       4559 |       4287 |       4346 |       3570 |       3922 |       3575 |       4494 |       3652 |       4297
    miss rate                        |     58.12% |     55.28% |     57.73% |     56.83% |     56.58% |     58.60% |     57.17% |     57.27% |     54.26% |     54.97% |     53.18% |     54.41% |     53.73% |     57.16% |     54.61% |     56.93%
