                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     645971 |     670097 |     629915 |     710135 |     583925 |     687029 |     602969 |     706489
  Cycles                             |    3147836 |    3147836 |    3147836 |    3147836 |    3147836 |    3147836 |    3147836 |    3147836
  IPC                                |       0.21 |       0.21 |       0.20 |       0.23 |       0.19 |       0.22 |       0.19 |       0.22
  Time (ns)                          |    1183397 |    1183397 |    1183397 |    1183397 |    1183397 |    1183397 |    1183397 |    1183397
  Idle time (ns)                     |      99448 |     151796 |     265601 |     150443 |     280124 |     121920 |     282515 |     110690
  Idle time (%)                      |       8.4% |      12.8% |      22.4% |      12.7% |      23.7% |      10.3% |      23.9% |       9.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      89838 |      93880 |      87183 |     100537 |      79513 |      96685 |      82696 |      99930
  num incorrect                      |        165 |        149 |        149 |        165 |        154 |        166 |        145 |        164
  misprediction rate                 |      0.18% |      0.16% |      0.17% |      0.16% |      0.19% |      0.17% |      0.18% |      0.16%
  mpki                               |       0.26 |       0.22 |       0.24 |       0.23 |       0.26 |       0.24 |       0.24 |       0.23
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     185998 |     194057 |     180663 |     207403 |     165333 |     199701 |     171681 |     206187
    num cache misses                 |         16 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     355016 |     367089 |     346998 |     387108 |     324003 |     375555 |     333525 |     385284
    num cache misses                 |      48313 |      41736 |      36458 |      41514 |      32963 |      39530 |      33450 |      39766
    miss rate                        |     13.61% |     11.37% |     10.51% |     10.72% |     10.17% |     10.53% |     10.03% |     10.32%
    mpki                             |      74.79 |      62.28 |      57.88 |      58.46 |      56.45 |      57.54 |      55.48 |      56.29
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      48409 |      41811 |      36583 |      41622 |      33026 |      39643 |      33558 |      39869
    num cache misses                 |      24727 |      20139 |      17622 |      19819 |      18981 |      22394 |      18478 |      22460
    miss rate                        |     51.08% |     48.17% |     48.17% |     47.62% |     57.47% |     56.49% |     55.06% |     56.33%
    mpki                             |      38.28 |      30.05 |      27.98 |      27.91 |      32.51 |      32.60 |      30.65 |      31.79
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      24783 |      20176 |      17668 |      19879 |      18995 |      22475 |      18523 |      22509
    num cache misses                 |         18 |         11 |         13 |         12 |          8 |         11 |         19 |         12
    miss rate                        |      0.07% |      0.05% |      0.07% |      0.06% |      0.04% |      0.05% |      0.10% |      0.05%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.01 |       0.02 |       0.03 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.55 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      75.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          4 |          5 |          4 |          5 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
