                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     780565 |     879123 |     729227 |     836085 |     844914 |     841937 |     761021 |     691489 |     845887 |     678309 |     738099 |     832310 |     747628 |     768540 |     740583 |     787357
  Cycles                             |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963 |    1498963
  IPC                                |       0.52 |       0.59 |       0.49 |       0.56 |       0.56 |       0.56 |       0.51 |       0.46 |       0.56 |       0.45 |       0.49 |       0.56 |       0.50 |       0.51 |       0.49 |       0.53
  Time (ns)                          |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520 |     563520
  Idle time (ns)                     |     128564 |     101011 |     204052 |     123332 |     123100 |     102346 |     176872 |     216539 |     105290 |     226782 |     172956 |     127363 |     185153 |     163370 |     189599 |     141172
  Idle time (%)                      |      22.8% |      17.9% |      36.2% |      21.9% |      21.8% |      18.2% |      31.4% |      38.4% |      18.7% |      40.2% |      30.7% |      22.6% |      32.9% |      29.0% |      33.6% |      25.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     182151 |     206787 |     169242 |     196001 |     198222 |     197507 |     177282 |     159880 |     198486 |     156631 |     171519 |     195032 |     173956 |     179189 |     172177 |     183862
  num incorrect                      |        232 |        239 |        302 |        270 |        253 |        220 |        223 |        241 |        236 |        201 |        257 |        292 |        205 |        201 |        223 |        228
  misprediction rate                 |      0.13% |      0.12% |      0.18% |      0.14% |      0.13% |      0.11% |      0.13% |      0.15% |      0.12% |      0.13% |      0.15% |      0.15% |      0.12% |      0.11% |      0.13% |      0.12%
  mpki                               |       0.30 |       0.27 |       0.41 |       0.32 |       0.30 |       0.26 |       0.29 |       0.35 |       0.28 |       0.30 |       0.35 |       0.35 |       0.27 |       0.26 |       0.30 |       0.29
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     367726 |     416992 |     342026 |     395491 |     399891 |     398385 |     357967 |     323189 |     400395 |     316628 |     346506 |     393589 |     351284 |     361744 |     347762 |     371139
    num cache misses                 |         17 |         15 |         17 |         16 |         16 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     399804 |     449087 |     374135 |     427571 |     431983 |     430492 |     390037 |     355272 |     432472 |     348684 |     378577 |     425681 |     383343 |     393800 |     379821 |     403210
    num cache misses                 |       7405 |       7977 |       5985 |       7487 |       7426 |       7619 |       6374 |       5596 |       7886 |       5616 |       6394 |       7145 |       6103 |       6440 |       5927 |       6747
    miss rate                        |      1.85% |      1.78% |      1.60% |      1.75% |      1.72% |      1.77% |      1.63% |      1.58% |      1.82% |      1.61% |      1.69% |      1.68% |      1.59% |      1.64% |      1.56% |      1.67%
    mpki                             |       9.49 |       9.07 |       8.21 |       8.95 |       8.79 |       9.05 |       8.38 |       8.09 |       9.32 |       8.28 |       8.66 |       8.58 |       8.16 |       8.38 |       8.00 |       8.57
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8277 |       8672 |       6807 |       8263 |       8135 |       8358 |       7195 |       6418 |       8697 |       6454 |       7227 |       7921 |       6900 |       7306 |       6767 |       7578
    num cache misses                 |       7424 |       7999 |       6009 |       7510 |       7452 |       7640 |       6405 |       5623 |       7902 |       5639 |       6412 |       7166 |       6126 |       6471 |       5950 |       6775
    miss rate                        |     89.69% |     92.24% |     88.28% |     90.89% |     91.60% |     91.41% |     89.02% |     87.61% |     90.86% |     87.37% |     88.72% |     90.47% |     88.78% |     88.57% |     87.93% |     89.40%
    mpki                             |       9.51 |       9.10 |       8.24 |       8.98 |       8.82 |       9.07 |       8.42 |       8.13 |       9.34 |       8.31 |       8.69 |       8.61 |       8.19 |       8.42 |       8.03 |       8.60
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8277 |       8672 |       6807 |       8263 |       8135 |       8358 |       7195 |       6418 |       8697 |       6454 |       7227 |       7921 |       6900 |       7306 |       6767 |       7578
    num cache misses                 |       4727 |       5058 |       3793 |       4713 |       4641 |       4792 |       4117 |       3591 |       5104 |       3383 |       3863 |       4416 |       3681 |       3995 |       3606 |       4241
    miss rate                        |     57.11% |     58.33% |     55.72% |     57.04% |     57.05% |     57.33% |     57.22% |     55.95% |     58.69% |     52.42% |     53.45% |     55.75% |     53.35% |     54.68% |     53.29% |     55.96%
    mpki                             |       6.06 |       5.75 |       5.20 |       5.64 |       5.49 |       5.69 |       5.41 |       5.19 |       6.03 |       4.99 |       5.23 |       5.31 |       4.92 |       5.20 |       4.87 |       5.39
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     153.88 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     100.45 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          2 |          3 |          2 |          2 |          2 |          4 |          2 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3061 |       3213 |       2415 |       2974 |       2923 |       3020 |       2602 |       2221 |       3085 |       1846 |       2150 |       2600 |       1989 |       2134 |       1958 |       2384
