                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2743361 |    3778397 |    3954055 |    3928206 |    3178454 |    3553271 |    3393936 |    4045354
  Cycles                             |    2713486 |    2713486 |    2713486 |    2713486 |    2713486 |    2713486 |    2713486 |    2713486
  IPC                                |       1.01 |       1.39 |       1.46 |       1.45 |       1.17 |       1.31 |       1.25 |       1.49
  Time (ns)                          |    1020108 |    1020108 |    1020108 |    1020108 |    1020108 |    1020108 |    1020108 |    1020108
  Idle time (ns)                     |     323840 |     112486 |      99723 |     108513 |     247223 |     176051 |     233497 |      99432
  Idle time (%)                      |      31.7% |      11.0% |       9.8% |      10.6% |      24.2% |      17.3% |      22.9% |       9.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     652597 |     911342 |     955192 |     948837 |     761410 |     855085 |     815345 |     978097
  num incorrect                      |        493 |        516 |        571 |        475 |        465 |        492 |        401 |        500
  misprediction rate                 |      0.08% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.05% |      0.05%
  mpki                               |       0.18 |       0.14 |       0.14 |       0.12 |       0.15 |       0.14 |       0.12 |       0.12
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1309151 |    1826695 |    1914486 |    1901599 |    1526729 |    1714126 |    1634473 |    1960163
    num cache misses                 |         16 |         17 |         17 |         16 |         16 |         16 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1404212 |    1921739 |    2009555 |    1996646 |    1621770 |    1809177 |    1729511 |    2055218
    num cache misses                 |       7447 |       9972 |       9915 |       9665 |       7047 |       7796 |       7082 |       7922
    miss rate                        |      0.53% |      0.52% |      0.49% |      0.48% |      0.43% |      0.43% |      0.41% |      0.39%
    mpki                             |       2.71 |       2.64 |       2.51 |       2.46 |       2.22 |       2.19 |       2.09 |       1.96
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8735 |      10951 |      10928 |      10686 |       8067 |       8782 |       8072 |       8966
    num cache misses                 |       2033 |       2218 |       1373 |       1076 |       1728 |       1767 |       1133 |       1372
    miss rate                        |     23.27% |     20.25% |     12.56% |     10.07% |     21.42% |     20.12% |     14.04% |     15.30%
    mpki                             |       0.74 |       0.59 |       0.35 |       0.27 |       0.54 |       0.50 |       0.33 |       0.34
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2745 |       2815 |       1988 |       1790 |       2593 |       2651 |       1913 |       2176
    num cache misses                 |         19 |         10 |         13 |         14 |          9 |         11 |          8 |          8
    miss rate                        |      0.69% |      0.36% |      0.65% |      0.78% |      0.35% |      0.41% |      0.42% |      0.37%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     126.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      72.96 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          6 |          4 |          4 |          5 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
