                                     | Core 0     | Core 1    
  Instructions                       |    7839387 |    6304277
  Cycles                             |    6999696 |    6999696
  IPC                                |       1.12 |       0.90
  Time (ns)                          |    2631465 |    2631465
  Idle time (ns)                     |      97821 |     385489
  Idle time (%)                      |       3.7% |      14.6%
Branch predictor stats               |            |           
  num correct                        |    1724286 |    1340500
  num incorrect                      |        315 |        330
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.04 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3452192 |    2684647
    num cache misses                 |         15 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4177224 |    3409679
    num cache misses                 |       2015 |       1933
    miss rate                        |      0.05% |      0.06%
    mpki                             |       0.26 |       0.31
  Cache L2                           |            |           
    num cache accesses               |       2871 |       2871
    num cache misses                 |         22 |          8
    miss rate                        |      0.77% |      0.28%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         24 |         10
    num cache misses                 |         22 |          8
    miss rate                        |     91.67% |     80.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.65 |        inf
  average dram queueing delay        |      43.22 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
