                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19561435 |   18316493 |   20608599 |   19854885
  Cycles                             |   13412146 |   13412146 |   13412146 |   13412146
  IPC                                |       1.46 |       1.37 |       1.54 |       1.48
  Time (ns)                          |    5042160 |    5042160 |    5042160 |    5042160
  Idle time (ns)                     |     293482 |     529420 |      97121 |     236385
  Idle time (%)                      |       5.8% |      10.5% |       1.9% |       4.7%
Branch predictor stats               |            |            |            |           
  num correct                        |    4654525 |    4343331 |    4916340 |    4727860
  num incorrect                      |        584 |        545 |        563 |        617
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9313191 |    8690734 |    9836764 |    9459921
    num cache misses                 |         16 |         17 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10038249 |    9415780 |   10561839 |   10184983
    num cache misses                 |       6138 |       5682 |       6003 |       5643
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.31 |       0.31 |       0.29 |       0.28
  Cache L2                           |            |            |            |           
    num cache accesses               |       7285 |       6665 |       6866 |       6569
    num cache misses                 |         23 |          6 |          5 |          5
    miss rate                        |      0.32% |      0.09% |      0.07% |      0.08%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         25 |          8 |          7 |          7
    num cache misses                 |         23 |          6 |          5 |          5
    miss rate                        |     92.00% |     75.00% |     71.43% |     71.43%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     103.28 |        inf |        inf |        inf
  average dram queueing delay        |      49.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
