                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     729018 |     810644 |     769003 |     917247 |     805121 |     848351 |     809771 |     573301 |     748105 |     896799 |     878821 |     759356 |     834505 |     757606 |     811265 |     857359
  Cycles                             |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704 |    5413704
  IPC                                |       0.13 |       0.15 |       0.14 |       0.17 |       0.15 |       0.16 |       0.15 |       0.11 |       0.14 |       0.17 |       0.16 |       0.14 |       0.15 |       0.14 |       0.15 |       0.16
  Time (ns)                          |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227 |    2035227
  Idle time (ns)                     |     303044 |     263608 |     337083 |     135281 |     247094 |     185720 |     274476 |     887455 |     243480 |     100911 |     115410 |     369093 |     162340 |     290525 |     185664 |     117888
  Idle time (%)                      |      14.9% |      13.0% |      16.6% |       6.6% |      12.1% |       9.1% |      13.5% |      43.6% |      12.0% |       5.0% |       5.7% |      18.1% |       8.0% |      14.3% |       9.1% |       5.8%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     121967 |     138310 |     130022 |     159645 |     137243 |     145868 |     138152 |      90924 |     125836 |     155542 |     151972 |     128097 |     143084 |     127778 |     138463 |     147589
  num incorrect                      |        244 |        232 |        192 |        218 |        195 |        216 |        216 |        150 |        194 |        226 |        208 |        190 |        226 |        159 |        199 |        298
  misprediction rate                 |      0.20% |      0.17% |      0.15% |      0.14% |      0.14% |      0.15% |      0.16% |      0.16% |      0.15% |      0.15% |      0.14% |      0.15% |      0.16% |      0.12% |      0.14% |      0.20%
  mpki                               |       0.33 |       0.29 |       0.25 |       0.24 |       0.24 |       0.25 |       0.27 |       0.26 |       0.26 |       0.25 |       0.24 |       0.25 |       0.27 |       0.21 |       0.25 |       0.35
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
