                                     | Core 0     | Core 1    
  Instructions                       |     102920 |     112730
  Cycles                             |     321169 |     321169
  IPC                                |       0.32 |       0.35
  Time (ns)                          |     120740 |     120740
  Idle time (ns)                     |      98195 |      96606
  Idle time (%)                      |      81.3% |      80.0%
Branch predictor stats               |            |           
  num correct                        |      12810 |      15287
  num incorrect                      |        172 |        156
  misprediction rate                 |      1.32% |      1.01%
  mpki                               |       1.67 |       1.38
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      28950 |      33876
    num cache misses                 |         17 |         16
    miss rate                        |      0.06% |      0.05%
    mpki                             |       0.17 |       0.14
  Cache L1-D                         |            |           
    num cache accesses               |      60989 |      65903
    num cache misses                 |       1233 |       1124
    miss rate                        |      2.02% |      1.71%
    mpki                             |      11.98 |       9.97
  Cache L2                           |            |           
    num cache accesses               |       1615 |       1616
    num cache misses                 |         21 |         13
    miss rate                        |      1.30% |      0.80%
    mpki                             |       0.20 |       0.12
  Cache L3                           |            |           
    num cache accesses               |         22 |         16
    num cache misses                 |         21 |         13
    miss rate                        |     95.45% |     81.25%
    mpki                             |       0.20 |       0.12
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |     101.64 |        inf
  average dram queueing delay        |      48.21 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
