                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     124082 |     141858 |     129425 |     154206 |     105920 |     128903 |     137161 |      92922 |     132530 |     148853 |     132195 |     114981 |     146848 |     137025 |     131224 |     107252
  Cycles                             |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840 |    1135840
  IPC                                |       0.11 |       0.12 |       0.11 |       0.14 |       0.09 |       0.11 |       0.12 |       0.08 |       0.12 |       0.13 |       0.12 |       0.10 |       0.13 |       0.12 |       0.12 |       0.09
  Time (ns)                          |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008 |     427008
  Idle time (ns)                     |     155367 |     125558 |     148491 |     103929 |     233381 |     147446 |     129267 |     281965 |     115005 |     100954 |     143728 |     198629 |     103193 |     110609 |     127174 |     234279
  Idle time (%)                      |      36.4% |      29.4% |      34.8% |      24.3% |      54.7% |      34.5% |      30.3% |      66.0% |      26.9% |      23.6% |      33.7% |      46.5% |      24.2% |      25.9% |      29.8% |      54.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      13398 |      16347 |      14269 |      18380 |      10406 |      14207 |      15565 |       8256 |      14777 |      17502 |      14733 |      11875 |      17171 |      15536 |      14572 |      10617
  num incorrect                      |        124 |        139 |        145 |        164 |         95 |        120 |        138 |         74 |        154 |        150 |        143 |        132 |        148 |        145 |        144 |        101
  misprediction rate                 |      0.92% |      0.84% |      1.01% |      0.88% |      0.90% |      0.84% |      0.88% |      0.89% |      1.03% |      0.85% |      0.96% |      1.10% |      0.85% |      0.92% |      0.98% |      0.94%
  mpki                               |       1.00 |       0.98 |       1.12 |       1.06 |       0.90 |       0.93 |       1.01 |       0.80 |       1.16 |       1.01 |       1.08 |       1.15 |       1.01 |       1.06 |       1.10 |       0.94
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      33039 |      38974 |      34830 |      43090 |      27000 |      34656 |      37408 |      22662 |      35862 |      41295 |      35746 |      30008 |      40639 |      37356 |      35431 |      27436
    num cache misses                 |         17 |         18 |         18 |         18 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.04% |      0.06% |      0.05% |      0.05% |      0.08% |      0.05% |      0.04% |      0.05% |      0.06% |      0.04% |      0.05% |      0.05% |      0.07%
    mpki                             |       0.14 |       0.13 |       0.14 |       0.12 |       0.16 |       0.14 |       0.13 |       0.19 |       0.14 |       0.12 |       0.14 |       0.16 |       0.12 |       0.13 |       0.14 |       0.17
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      71572 |      80469 |      74253 |      86643 |      62500 |      73992 |      78120 |      56001 |      75798 |      83956 |      75627 |      67020 |      82964 |      78042 |      75151 |      63159
    num cache misses                 |       6787 |       7301 |       6713 |       7572 |       4774 |       6477 |       6944 |       3637 |       7967 |       7823 |       6871 |       5521 |       7739 |       7322 |       7006 |       4591
