                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     654888 |     772868 |     670913 |     589413 |     503684 |     741817 |     684389 |     554268
  Cycles                             |    2538990 |    2538990 |    2538990 |    2538990 |    2538990 |    2538990 |    2538990 |    2538990
  IPC                                |       0.26 |       0.30 |       0.26 |       0.23 |       0.20 |       0.29 |       0.27 |       0.22
  Time (ns)                          |     954508 |     954508 |     954508 |     954508 |     954508 |     954508 |     954508 |     954508
  Idle time (ns)                     |     109414 |     126455 |     255595 |     353341 |     346452 |      99434 |     164757 |     359598
  Idle time (%)                      |      11.5% |      13.2% |      26.8% |      37.0% |      36.3% |      10.4% |      17.3% |      37.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     107108 |     130681 |     110350 |      94069 |      76926 |     124497 |     113047 |      87067
  num incorrect                      |        277 |        306 |        246 |        227 |        224 |        279 |        244 |        200
  misprediction rate                 |      0.26% |      0.23% |      0.22% |      0.24% |      0.29% |      0.22% |      0.22% |      0.23%
  mpki                               |       0.42 |       0.40 |       0.37 |       0.39 |       0.44 |       0.38 |       0.36 |       0.36
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     220765 |     267973 |     227191 |     194591 |     160299 |     255548 |     232581 |     180533
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         17 |         18 |         18
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03 |       0.04 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     407161 |     477963 |     416790 |     367890 |     316452 |     459331 |     424875 |     346803
    num cache misses                 |      40550 |      36532 |      30583 |      26035 |      23421 |      32291 |      31032 |      23639
    miss rate                        |      9.96% |      7.64% |      7.34% |      7.08% |      7.40% |      7.03% |      7.30% |      6.82%
    mpki                             |      61.92 |      47.27 |      45.58 |      44.17 |      46.50 |      43.53 |      45.34 |      42.65
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      40744 |      36660 |      30755 |      26281 |      23608 |      32555 |      31332 |      23831
    num cache misses                 |      19910 |      16843 |      13729 |      11773 |      13170 |      19193 |      17327 |      12341
    miss rate                        |     48.87% |     45.94% |     44.64% |     44.80% |     55.79% |     58.96% |     55.30% |     51.79%
    mpki                             |      30.40 |      21.79 |      20.46 |      19.97 |      26.15 |      25.87 |      25.32 |      22.27
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      19996 |      16904 |      13808 |      11962 |      13278 |      19390 |      17543 |      12456
    num cache misses                 |         19 |         12 |         13 |         10 |         13 |          5 |         17 |         13
    miss rate                        |      0.10% |      0.07% |      0.09% |      0.08% |      0.10% |      0.03% |      0.10% |      0.10%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.02 |       0.03 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.52 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      75.09 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          4 |          4 |          2 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
