                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |      98954 |      98705 |      98272 |      98880 |      98132 |      98604 |      98122 |      98902 |      97655 |      98835 |      98258 |      98406 |      98583 |      98119 |      99251 |      98951
  Cycles                             |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159 |    3720159
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556 |    1398556
  Idle time (ns)                     |    1354909 |    1358150 |    1356778 |    1354839 |    1360618 |    1356532 |    1358964 |    1354803 |    1361428 |    1354192 |    1358424 |    1356326 |    1353630 |    1361793 |    1355247 |    1355254
  Idle time (%)                      |      96.9% |      97.1% |      97.0% |      96.9% |      97.3% |      97.0% |      97.2% |      96.9% |      97.3% |      96.8% |      97.1% |      97.0% |      96.8% |      97.4% |      96.9% |      96.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      10883 |      10923 |      10873 |      10893 |      10901 |      10911 |      10882 |      10867 |      10906 |      10902 |      10891 |      10926 |      10885 |      10920 |      10922 |      10921
  num incorrect                      |        383 |        332 |        346 |        371 |        310 |        340 |        320 |        397 |        270 |        360 |        331 |        309 |        356 |        298 |        371 |        354
  misprediction rate                 |      3.40% |      2.95% |      3.08% |      3.29% |      2.77% |      3.02% |      2.86% |      3.52% |      2.42% |      3.20% |      2.95% |      2.75% |      3.17% |      2.66% |      3.29% |      3.14%
  mpki                               |       3.87 |       3.36 |       3.52 |       3.75 |       3.16 |       3.45 |       3.26 |       4.01 |       2.76 |       3.64 |       3.37 |       3.14 |       3.61 |       3.04 |       3.74 |       3.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15611 |      15508 |      15492 |      15586 |      15466 |      15512 |      15522 |      15600 |      15428 |      15590 |      15494 |      15518 |      15580 |      15438 |      15648 |      15549
    num cache misses                 |         23 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         22
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.14%
    mpki                             |       0.23 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.25 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.22
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      52848 |      52769 |      52681 |      52839 |      52645 |      52773 |      52671 |      52847 |      52562 |      52843 |      52699 |      52749 |      52800 |      52663 |      52937 |      52852
    num cache misses                 |        826 |        728 |        775 |        856 |        619 |        784 |        691 |        806 |        607 |        878 |        705 |        796 |        849 |        607 |        875 |        799
    miss rate                        |      1.56% |      1.38% |      1.47% |      1.62% |      1.18% |      1.49% |      1.31% |      1.53% |      1.15% |      1.66% |      1.34% |      1.51% |      1.61% |      1.15% |      1.65% |      1.51%
    mpki                             |       8.35 |       7.38 |       7.89 |       8.66 |       6.31 |       7.95 |       7.04 |       8.15 |       6.22 |       8.88 |       7.17 |       8.09 |       8.61 |       6.19 |       8.82 |       8.07
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1169 |       1011 |       1103 |       1217 |        861 |       1098 |        989 |       1140 |        874 |       1273 |       1006 |       1165 |       1200 |        858 |       1203 |       1143
    num cache misses                 |        849 |        752 |        799 |        880 |        644 |        810 |        717 |        831 |        631 |        903 |        729 |        821 |        873 |        632 |        900 |        821
    miss rate                        |     72.63% |     74.38% |     72.44% |     72.31% |     74.80% |     73.77% |     72.50% |     72.89% |     72.20% |     70.93% |     72.47% |     70.47% |     72.75% |     73.66% |     74.81% |     71.83%
    mpki                             |       8.58 |       7.62 |       8.13 |       8.90 |       6.56 |       8.21 |       7.31 |       8.40 |       6.46 |       9.14 |       7.42 |       8.34 |       8.86 |       6.44 |       9.07 |       8.30
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       1169 |       1011 |       1103 |       1217 |        861 |       1098 |        989 |       1140 |        874 |       1273 |       1006 |       1165 |       1200 |        858 |       1203 |       1143
    num cache misses                 |        497 |        478 |        476 |        500 |        366 |        461 |        411 |        468 |        349 |        564 |        415 |        462 |        459 |        341 |        485 |        460
    miss rate                        |     42.51% |     47.28% |     43.16% |     41.08% |     42.51% |     41.99% |     41.56% |     41.05% |     39.93% |     44.30% |     41.25% |     39.66% |     38.25% |     39.74% |     40.32% |     40.24%
    mpki                             |       5.02 |       4.84 |       4.84 |       5.06 |       3.73 |       4.68 |       4.19 |       4.73 |       3.57 |       5.71 |       4.22 |       4.69 |       4.66 |       3.48 |       4.89 |       4.65
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         97 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.03 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.60 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          6 |          4 |          5 |          6 |          4 |          4 |          3 |          4 |          3 |          3 |          4 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |        326 |        307 |        319 |        351 |        244 |        314 |        286 |        319 |        236 |        395 |        289 |        321 |        306 |        219 |        349 |        316
